Subject,Method,Accuracy,Precision,Recall,F1 Score,Fold
subject90428528,Cole-Kripke,0.7151675485008818,0.5023696682464455,0.9754601226993865,0.6631908237747653,4
subject90428629,Sadeh,0.8114114114114114,0.6553398058252428,0.9473684210526315,0.7747489239598279,4
subject90428629,Cole-Kripke,0.745945945945946,0.5756951596292482,0.980701754385965,0.7255029201817003,4
subject90433827,Sadeh,0.7133204633204633,0.6383265856950068,0.9422310756972112,0.7610619469026549,4
subject90433827,Cole-Kripke,0.6264478764478765,0.5666280417149478,0.9741035856573705,0.7164835164835165,4
subject90435223,Sadeh,0.6366366366366366,0.46525096525096526,0.9043151969981238,0.6144040790312301,4
subject90435223,Cole-Kripke,0.5327327327327327,0.40192153722978385,0.9418386491557224,0.5634118967452301,4
subject90435425,Sadeh,0.7904583723105706,0.7255172413793104,0.9546279491833031,0.8244514106583073,4
subject90435425,Cole-Kripke,0.7081384471468662,0.6438026474127557,0.9709618874773139,0.7742402315484804,4
subject90444728,Sadeh,0.8445017182130584,0.6730401529636711,0.9723756906077348,0.7954802259887006,4
subject90444728,Cole-Kripke,0.7018900343642611,0.5109170305676856,0.9696132596685083,0.669208770257388,4
subject90445123,Sadeh,0.7253605769230769,0.6041470311027333,0.9454277286135693,0.7372052903967797,4
subject90445123,Cole-Kripke,0.6628605769230769,0.5491183879093199,0.9646017699115044,0.6998394863563403,4
subject90446023,Sadeh,0.7702539298669892,0.7355982274741507,0.9783889980353635,0.839797639123103,4
subject90446023,Cole-Kripke,0.7412333736396615,0.7062937062937062,0.9921414538310412,0.8251633986928104,4
subject90446124,Sadeh,0.8395669291338582,0.7470881863560732,0.9760869565217392,0.8463713477851085,4
subject90446124,Cole-Kripke,0.6771653543307087,0.5848329048843187,0.9891304347826086,0.7350565428109853,4
subject90447125,Sadeh,0.6666666666666666,0.3859060402684564,0.9885386819484241,0.5551086082059533,4
subject90447125,Cole-Kripke,0.5539481615430982,0.3201471941122355,0.997134670487106,0.48467966573816157,4
subject90447731,Sadeh,0.8906560636182903,0.8194726166328601,0.9505882352941176,0.8801742919389978,4
subject90447731,Cole-Kripke,0.7534791252485089,0.6330827067669172,0.9905882352941177,0.7724770642201835,4
subject90449127,Sadeh,0.7711711711711712,0.5963791267305645,0.99644128113879,0.7461692205196536,4
subject90449127,Cole-Kripke,0.6498498498498498,0.4908296943231441,1.0,0.658465143526655,4
subject90454527,Sadeh,0.8760529482551144,0.8381877022653722,0.9942418426103646,0.9095697980684812,4
subject90454527,Cole-Kripke,0.8459687123947052,0.8046511627906977,0.9961612284069098,0.8902229845626073,4
subject90459633,Sadeh,0.8257575757575758,0.7485148514851485,0.9717223650385605,0.8456375838926176,4
subject90459633,Cole-Kripke,0.7904040404040404,0.7045871559633028,0.987146529562982,0.8222698072805139,4
subject90461323,Sadeh,0.7701283547257877,0.6611570247933884,0.9065155807365439,0.7646356033452807,4
subject90461323,Cole-Kripke,0.6546091015169195,0.5469522240527183,0.9405099150141643,0.6916666666666665,4
subject90462122,Sadeh,0.7837301587301587,0.7064220183486238,0.9467213114754098,0.8091068301225919,4
subject90462122,Cole-Kripke,0.7559523809523809,0.6685236768802229,0.9836065573770492,0.7960199004975125,4
subject90462526,Sadeh,0.8928104575163399,0.8947368421052632,0.9586466165413534,0.9255898366606171,4
subject90462526,Cole-Kripke,0.8483660130718954,0.8333333333333334,0.9774436090225563,0.8996539792387543,4
subject90462728,Sadeh,0.7080200501253133,0.6307947019867549,0.9744245524296675,0.7658291457286431,5
subject90462728,Cole-Kripke,0.6942355889724311,0.6183574879227053,0.9820971867007673,0.758893280632411,5
subject90464932,Sadeh,0.790224032586558,0.6646942800788954,0.903485254691689,0.7659090909090909,5
subject90464932,Cole-Kripke,0.7708757637474541,0.635036496350365,0.9329758713136729,0.755700325732899,5
subject90465933,Sadeh,0.7825261158594492,0.695139911634757,0.9554655870445344,0.8047740835464622,5
subject90465933,Cole-Kripke,0.6894586894586895,0.6071887034659821,0.9574898785425101,0.7431264728986646,5
subject90466732,Sadeh,0.7008973080757727,0.6280254777070063,0.9840319361277445,0.7667185069984448,5
subject90466732,Cole-Kripke,0.6271186440677966,0.572737686139748,0.998003992015968,0.727802037845706,5
subject90470020,Sadeh,0.7129129129129129,0.5145228215767634,0.9802371541501976,0.674829931972789,5
subject90470020,Cole-Kripke,0.5783783783783784,0.41819699499165275,0.9901185770750988,0.5880281690140845,5
subject90472628,Sadeh,0.7212178877259753,0.5707692307692308,0.9636363636363636,0.7169082125603864,5
subject90472628,Cole-Kripke,0.6393910561370124,0.5040106951871658,0.9792207792207792,0.6654898499558695,5
subject90475732,Sadeh,0.6460945033751205,0.4704184704184704,1.0,0.6398429833169774,5
subject90475732,Cole-Kripke,0.5949855351976856,0.43699731903485256,1.0,0.6082089552238806,5
subject90480930,Sadeh,0.7525525525525526,0.5993031358885017,0.8850771869639794,0.7146814404432134,5
subject90480930,Cole-Kripke,0.6522522522522523,0.5018281535648994,0.9416809605488851,0.6547406082289803,5
subject90483832,Sadeh,0.7488708220415538,0.6505847953216374,0.9194214876033058,0.7619863013698629,5
subject90483832,Cole-Kripke,0.6269196025293586,0.5408515535097813,0.9710743801652892,0.6947524020694752,5
subject90485329,Sadeh,0.7260024301336574,0.5112107623318386,0.9681528662420382,0.6691122523844462,5
subject90485329,Cole-Kripke,0.5783718104495748,0.4022787028921998,0.9745222929936306,0.5694789081885855,5
subject90486330,Sadeh,0.8837209302325582,0.7920277296360485,0.9785867237687366,0.8754789272030651,5
subject90486330,Cole-Kripke,0.8434704830053668,0.732484076433121,0.9850107066381156,0.8401826484018264,5
subject90489737,Sadeh,0.6686567164179105,0.5593451568894953,0.9761904761904762,0.7111882046834345,5
subject90489737,Cole-Kripke,0.6129353233830845,0.519546027742749,0.9809523809523809,0.6793075020610057,5
subject90491326,Sadeh,0.5786618444846293,0.5168776371308017,0.9839357429718876,0.6777316735822959,5
subject90491326,Cole-Kripke,0.5144665461121157,0.4810126582278481,0.9919678714859438,0.6478688524590164,5
subject90495229,Sadeh,0.8987012987012987,0.9131205673758865,0.9466911764705882,0.9296028880866426,5
subject90495229,Cole-Kripke,0.7935064935064935,0.7802037845705968,0.9852941176470589,0.8708367181153535,5
subject90502622,Sadeh,0.71997585998793,0.5581643543223053,0.912739965095986,0.6927152317880795,5
subject90502622,Cole-Kripke,0.6354858177429089,0.4862710363153233,0.9581151832460733,0.645123384253819,5
subject90505827,Sadeh,0.8939759036144578,0.8619528619528619,0.9884169884169884,0.920863309352518,5
subject90505827,Cole-Kripke,0.7746987951807229,0.7360912981455064,0.9961389961389961,0.8465955701394586,5
subject90508426,Sadeh,0.7971656333038086,0.6351791530944625,0.9873417721518988,0.7730426164519326,5
subject90508426,Cole-Kripke,0.6377325066430469,0.4912718204488778,0.9974683544303797,0.6583124477861321,5
subject90520218,Sadeh,0.8923611111111112,0.8827977315689981,0.9377510040160643,0.9094449853943525,5
subject90520218,Cole-Kripke,0.8564814814814815,0.8085808580858086,0.9839357429718876,0.8876811594202899,5
subject90520723,Sadeh,0.917550058892815,0.8873483535528596,0.9903288201160542,0.9360146252285192,5
subject90520723,Cole-Kripke,0.8951707891637221,0.8566666666666667,0.9941972920696325,0.9203222918531782,5
subject90522422,Sadeh,0.843421052631579,0.8092783505154639,0.9832985386221295,0.8878416588124411,5
subject90522422,Cole-Kripke,0.8,0.7632850241545893,0.9895615866388309,0.8618181818181818,5
subject90522523,Sadeh,0.9441860465116279,0.9125799573560768,0.9839080459770115,0.9469026548672567,5
subject90522523,Cole-Kripke,0.8825581395348837,0.8127340823970037,0.9977011494252873,0.8957688338493291,5
subject90523625,Sadeh,0.7238532110091743,0.6584766584766585,0.9588550983899821,0.7807720320466132,5
subject90523625,Cole-Kripke,0.6752293577981652,0.6137624861265261,0.9892665474060823,0.7575342465753424,5
subject90525324,Sadeh,0.717741935483871,0.6632782719186785,0.9125874125874126,0.7682119205298013,5
subject90525324,Cole-Kripke,0.6747311827956989,0.6144578313253012,0.9807692307692307,0.7555555555555555,5
subject90533323,Sadeh,0.6823379923761118,0.6496913580246914,0.9481981981981982,0.7710622710622711,5
subject90533323,Cole-Kripke,0.6670902160101652,0.6342182890855457,0.9684684684684685,0.7664884135472372,5
subject90537529,Sadeh,0.5867867867867868,0.41086186540731995,0.6480446927374302,0.5028901734104047,5
subject90537529,Cole-Kripke,0.5105105105105106,0.37764084507042256,0.7988826815642458,0.5128511655708309,5
subject90541827,Sadeh,0.8537378114842904,0.8127090301003345,0.9548133595284872,0.8780487804878049,5
subject90541827,Cole-Kripke,0.752979414951246,0.6959553695955369,0.9803536345776032,0.8140293637846656,5
subject90543223,Sadeh,0.6014449127031909,0.3546453546453546,0.9568733153638814,0.5174927113702624,5
subject90543223,Cole-Kripke,0.4780252859723058,0.2993527508090615,0.9973045822102425,0.46048537647790916,5
subject90558431,Sadeh,0.7478165938864629,0.6130653266331658,1.0,0.7601246105919003,5
subject90558431,Cole-Kripke,0.6572052401746725,0.538235294117647,1.0,0.6998087954110899,5
subject90558633,Sadeh,0.7641228939544104,0.7076923076923077,0.905511811023622,0.7944732297063904,5
subject90558633,Cole-Kripke,0.6897918731417245,0.630173564753004,0.9291338582677166,0.7509944311853619,5
subject90577634,Sadeh,0.6293643688451208,0.4705128205128205,0.9972826086956522,0.6393728222996515,5
subject90577634,Cole-Kripke,0.5308863025962399,0.41235955056179774,0.9972826086956522,0.5834658187599364,5
subject90584632,Sadeh,0.6777996070726916,0.568733153638814,0.9813953488372092,0.7201365187713311,5
