Combination,Fold,Epoch,Train Loss,Validation Loss,Hidden Dimension,Number of Layers,Initial Learning Rate,Model
2,6,0,0.8640539096668363,0.8547457720745694,1,1,0.7,RNN
2,6,1,0.5191365048289299,0.3396114646033807,1,1,0.7,RNN
2,6,2,0.3508405301719904,0.33907853676514194,1,1,0.7,RNN
2,6,3,0.3438386537134647,0.326895965940573,1,1,0.7,RNN
2,6,4,0.33916227482259276,0.32189338705079124,1,1,0.7,RNN
2,6,5,0.3373202919960022,0.3149087833748622,1,1,0.7,RNN
2,7,0,0.707419629022479,0.707076220349832,1,1,0.7,RNN
2,7,1,0.5476357638835907,0.3471638214859096,1,1,0.7,RNN
2,7,2,0.3563094548881054,0.31858480061319744,1,1,0.7,RNN
2,7,3,0.3477459721267223,0.31361102194271306,1,1,0.7,RNN
2,7,4,0.34359397515654566,0.3116457383571701,1,1,0.7,RNN
2,7,5,0.3407769463956356,0.3071042017333887,1,1,0.7,RNN
2,7,6,0.33757559657096864,0.3049834947186438,1,1,0.7,RNN
2,7,7,0.33445393666625023,0.301940409805287,1,1,0.7,RNN
2,7,8,0.331736496835947,0.29895895372398873,1,1,0.7,RNN
2,7,9,0.32795865572988986,0.2962180414999073,1,1,0.7,RNN
2,7,10,0.32386986799538137,0.293704187666828,1,1,0.7,RNN
2,8,0,0.7564822807908058,0.7614196356047284,1,1,0.7,RNN
2,8,1,0.563921108096838,0.3764772548932921,1,1,0.7,RNN
2,8,2,0.35830057635903356,0.3580236404456876,1,1,0.7,RNN
2,8,3,0.3481389731168747,0.3558975007723678,1,1,0.7,RNN
2,8,4,0.34514660090208055,0.3556535960259763,1,1,0.7,RNN
2,8,5,0.3432112567126751,0.35213280181315815,1,1,0.7,RNN
2,9,0,0.5537517598830164,0.560080907900225,1,1,0.7,RNN
2,9,1,0.3676667705178261,0.32218460518528114,1,1,0.7,RNN
3,0,0,0.7086271001026034,0.7000417605042457,1,1,0.7,LSTM
3,0,1,0.5528053894639016,0.44995793588459493,1,1,0.7,LSTM
3,0,2,0.373804185539484,0.3678329462185502,1,1,0.7,LSTM
3,0,3,0.31621435433626177,0.34443593919277193,1,1,0.7,LSTM
3,0,4,0.29366233237087724,0.33079460076987743,1,1,0.7,LSTM
3,0,5,0.2837040439248085,0.3246452584862709,1,1,0.7,LSTM
3,0,6,0.26834257654845717,0.30658202851191163,1,1,0.7,LSTM
3,0,7,0.2690679546445608,0.3036338726058602,1,1,0.7,LSTM
3,0,8,0.25193502120673655,0.2822026344016194,1,1,0.7,LSTM
3,1,0,0.7322423104196787,0.7336206503212452,1,1,0.7,LSTM
3,1,1,0.5197042800486088,0.4248633412644267,1,1,0.7,LSTM
3,1,2,0.3538240175694227,0.3559249357320368,1,1,0.7,LSTM
3,1,3,0.31809006407856943,0.32651274697855115,1,1,0.7,LSTM
3,1,4,0.29315373972058295,0.2953587671741843,1,1,0.7,LSTM
3,1,5,0.2572911463677883,0.2621761189308017,1,1,0.7,LSTM
3,1,6,0.22626604326069355,0.2437844174914062,1,1,0.7,LSTM
3,1,7,0.20032342579215764,0.23330143373459578,1,1,0.7,LSTM
3,1,8,0.18805131018161775,0.231124750059098,1,1,0.7,LSTM
3,1,9,0.1872312344610691,0.21947842743247747,1,1,0.7,LSTM
3,2,0,0.8441833188757301,0.8331753656268119,1,1,0.7,LSTM
3,2,1,0.6872723788022995,0.6612881943583488,1,1,0.7,LSTM
3,2,2,0.6355670496821404,0.5699203088879585,1,1,0.7,LSTM
3,2,3,0.4996189258992672,0.42134538404643535,1,1,0.7,LSTM
3,2,4,0.397994638979435,0.37800412345677614,1,1,0.7,LSTM
3,2,5,0.36158995553851125,0.3499489288777113,1,1,0.7,LSTM
3,2,6,0.34133723825216294,0.3356508076190948,1,1,0.7,LSTM
3,2,7,0.3312020655721426,0.327959306165576,1,1,0.7,LSTM
3,2,8,0.32579256147146224,0.32411621883511543,1,1,0.7,LSTM
3,2,9,0.3224403731524944,0.32144780587404964,1,1,0.7,LSTM
3,2,10,0.3200151242315769,0.31921810321509836,1,1,0.7,LSTM
3,2,11,0.31801994852721693,0.3173120753839612,1,1,0.7,LSTM
3,2,12,0.31645106598734857,0.3159946581348777,1,1,0.7,LSTM
3,2,13,0.31529950983822347,0.31522185504436495,1,1,0.7,LSTM
3,2,14,0.3142794813960791,0.3146833350881934,1,1,0.7,LSTM
3,2,15,0.3133536286652088,0.31455990467220546,1,1,0.7,LSTM
3,2,16,0.31257231198251245,0.3142429471947253,1,1,0.7,LSTM
3,2,17,0.31169190891087056,0.3139279208146036,1,1,0.7,LSTM
3,2,18,0.31094964817166326,0.3133105782791972,1,1,0.7,LSTM
3,3,0,0.7979534368030727,0.810011763870716,1,1,0.7,LSTM
3,3,1,0.6948008745908737,0.6822514951229095,1,1,0.7,LSTM
3,3,2,0.6399184137582778,0.5558310262858868,1,1,0.7,LSTM
3,3,3,0.4927221223711967,0.42485774792730807,1,1,0.7,LSTM
3,3,4,0.395931313931942,0.37794718369841573,1,1,0.7,LSTM
3,3,5,0.3576552838087082,0.3574763171374798,1,1,0.7,LSTM
3,3,6,0.33739813007414343,0.3421207394450903,1,1,0.7,LSTM
3,3,7,0.32418329529464246,0.33362251268699766,1,1,0.7,LSTM
3,3,8,0.31534054726362226,0.33226929130032656,1,1,0.7,LSTM
3,3,9,0.3219873018562794,0.32136972025036814,1,1,0.7,LSTM
3,3,10,0.3160785537213087,0.31468667425215247,1,1,0.7,LSTM
